GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450190046161,45, South Carolina,19, Charleston County,82798.0,1474,367,71,490,27,68,451
450190046162,45, South Carolina,19, Charleston County,53132.0,797,191,274,113,99,38,82
450190046163,45, South Carolina,19, Charleston County,180250.0,1108,34,159,77,22,171,645
450190046171,45, South Carolina,19, Charleston County,151953.0,1094,103,11,191,97,95,597
450190046172,45, South Carolina,19, Charleston County,148077.0,2246,189,0,257,507,180,1113
450190046181,45, South Carolina,19, Charleston County,119566.0,854,30,66,130,371,45,212
450190046182,45, South Carolina,19, Charleston County,84630.0,1506,305,88,455,144,168,346
450190046191,45, South Carolina,19, Charleston County,125849.0,1122,57,79,136,180,441,229
450190046192,45, South Carolina,19, Charleston County,49045.0,832,372,117,29,94,0,220
450190046193,45, South Carolina,19, Charleston County,,705,57,153,159,0,55,281
450190046201,45, South Carolina,19, Charleston County,82628.0,1001,189,243,137,71,64,297
450190046202,45, South Carolina,19, Charleston County,227578.0,355,19,13,29,28,88,178
450190046203,45, South Carolina,19, Charleston County,69905.0,737,139,102,230,28,78,160
450190046211,45, South Carolina,19, Charleston County,208824.0,770,28,36,100,25,0,581
450190046212,45, South Carolina,19, Charleston County,196852.0,506,24,35,99,11,30,307
450190046213,45, South Carolina,19, Charleston County,84130.0,554,111,114,78,106,49,96
450190046214,45, South Carolina,19, Charleston County,113317.0,551,46,35,152,93,50,175
450190046221,45, South Carolina,19, Charleston County,,949,416,340,70,83,30,10
450190046222,45, South Carolina,19, Charleston County,197917.0,1235,144,59,129,123,53,727
450190047011,45, South Carolina,19, Charleston County,85862.0,404,92,37,124,59,0,92
450190047012,45, South Carolina,19, Charleston County,,183,30,0,64,0,16,73
450190047013,45, South Carolina,19, Charleston County,108976.0,1099,205,112,118,236,119,309
450190047014,45, South Carolina,19, Charleston County,128125.0,1281,53,325,107,111,92,593
450190047021,45, South Carolina,19, Charleston County,90843.0,943,204,158,163,96,123,199
450190048001,45, South Carolina,19, Charleston County,171746.0,489,39,17,61,38,29,305
450190048002,45, South Carolina,19, Charleston County,177083.0,357,33,34,37,42,16,195
450190049011,45, South Carolina,19, Charleston County,185000.0,402,29,11,70,39,22,231
450190049012,45, South Carolina,19, Charleston County,143114.0,415,79,40,32,22,83,159
450190049021,45, South Carolina,19, Charleston County,175156.0,219,9,0,31,42,27,110
450190049022,45, South Carolina,19, Charleston County,231250.0,597,43,21,99,3,59,372
450190049023,45, South Carolina,19, Charleston County,107450.0,315,18,30,85,40,31,111
450190050011,45, South Carolina,19, Charleston County,93603.0,254,48,9,89,14,21,73
450190050012,45, South Carolina,19, Charleston County,66250.0,368,109,68,97,32,13,49
450190050021,45, South Carolina,19, Charleston County,57259.0,457,124,113,76,23,33,88
450190050022,45, South Carolina,19, Charleston County,,166,120,7,4,0,29,6
450190050023,45, South Carolina,19, Charleston County,55833.0,440,133,89,77,18,29,94
450190050024,45, South Carolina,19, Charleston County,45500.0,178,75,72,15,0,16,0
450190051001,45, South Carolina,19, Charleston County,69250.0,827,180,199,151,21,31,245
450190053001,45, South Carolina,19, Charleston County,80283.0,1033,203,227,204,38,57,304
450190053002,45, South Carolina,19, Charleston County,53203.0,348,131,66,47,24,20,60
450190053003,45, South Carolina,19, Charleston County,11518.0,378,355,10,0,0,0,13
450190054001,45, South Carolina,19, Charleston County,41071.0,194,63,83,0,48,0,0
450190054002,45, South Carolina,19, Charleston County,36417.0,789,318,257,75,33,21,85
450190055001,45, South Carolina,19, Charleston County,,361,176,149,27,9,0,0
